"model","model_name","bench_class","scenario","scenario_kind","test","rtr_mode","n_threads","muge","flash_attn","avg_ts","stddev_ts","wall_seconds"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","16","False","True","23.886793","0","7.559"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","off","16","False","True","189.871125","0","9.587"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","off","16","False","True","27.72329","0","9.587"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","16","False","True","28.644596","0","8.411"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","16","False","True","309.937473","0","10.085"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","16","False","True","28.833209","0","10.085"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","auto","16","False","True","29.038883","0","8.371"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","auto","16","False","True","310.313562","0","10.293"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","auto","16","False","True","28.757858","0","10.293"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","off","16","False","True","13.73819","0","427.688"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","off","16","False","True","118.4458","0","18.427"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","off","16","False","True","16.061569","0","18.427"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","on","16","False","True","15.915958","0","480.357"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","on","16","False","True","148.957046","0","470.166"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","on","16","False","True","16.718052","0","470.166"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","auto","16","False","True","16.103982","0","467.097"
